date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2019-03-02,U001,2108027.42,0.0,41801581.20000002,2638385.404285714,2495533.6793333334,878638.8750675331,797352.9193101497,2283617.61,2490303.6203333335,0.9979042322516773,2483374.5600000024,156901.77000001073,0.5583519275012291,5,3,1
2019-03-03,U001,1695960.3699999999,0.0,43497541.57000002,2757570.0285714283,2454859.099666667,614280.4767332015,806228.0251021539,2283617.61,2389938.540666667,0.9735542626422773,3317666.930000007,1947616.7700000107,0.5906318829175211,6,3,1
2019-03-04,U001,4177795.9699999997,4509734.84,43165602.70000002,2942300.382857143,2549591.194666667,819150.9619357975,836601.756010503,2368313.0628571426,2540062.121666667,0.9962625094485997,4017911.2399999946,285872.1899999976,0.5643467181496324,0,3,0
2019-03-05,U001,3199285.08,2853697.79,43511189.990000024,2922508.3299999996,2594621.9576666667,809619.8289689902,833908.9379252867,2261313.134285714,2635185.381333334,1.0156336546627955,4628366.37000002,-1216902.7099999934,0.5589920317220248,1,3,0
2019-03-06,U001,3446387.2399999998,1883056.72,45074520.510000035,2984832.874285714,2626761.979,833915.3905311264,847889.720041189,2270743.7757142857,2523442.4960000003,0.9606665987150718,4998623.690000027,3099584.4900000244,0.5719909260952499,2,3,0
2019-03-07,U001,3464596.57,2777850.19,45761266.89000003,3019277.1271428573,2616557.536,850235.4510144497,835397.3391313107,2257316.5057142857,2496096.643666667,0.9539620701337663,5333724.350000009,3613826.770000018,0.5829703883874392,3,3,0
2019-03-08,U001,2876234.06,4509260.27,44128240.68000004,2995469.53,2592503.1623333334,851795.9656736036,816339.2076010837,2361942.8299999996,2563184.8546666666,0.9886911198055089,4434686.900000006,879549.2300000265,0.5673826660547284,4,3,0
2019-03-09,U001,1885004.53,39142.259999999995,45974102.95000003,2963609.117142857,2539470.5083333333,893663.9580120628,808607.2134063938,2367534.5814285716,2458641.3383333334,0.9681708569818956,4172521.750000015,2424875.1000000164,0.6034604825314951,5,3,1
2019-03-10,U001,1422472.89,0.0,47396575.84000002,2924539.477142857,2509485.981333333,961708.0366193849,833251.732197814,2367534.5814285716,2343758.9953333335,0.9339597880869825,3899034.269999996,4971809.579999998,0.6295655258029826,6,3,1
2019-03-11,U001,3422421.37,4438001.43,46380995.78000003,2816628.8200000003,2553738.0506666666,831165.4126447272,845632.4584474105,2357286.9514285713,2489854.209333333,0.9749841839429632,3215393.080000013,1916515.240000002,0.6054000692291317,0,3,0
